file,size_kb,status
how-the-corn-pests-were-ensnared-2.md,10.4,todo
how-the-twins-of-war-and-chance-haiy-ta-and-m-tsail-ma-fared-with-the-unborn-made-men-of-the-underworld26.md,15.1,todo
a-tale-of-canyon-de-chelly.md,8.5,todo
endnotes.md,14.1,todo
how-haiy-ta-and-m-tsail-ma-stole-the-thunder-stone-and-the-lightning-shaft.md,14.4,todo
how-the-corn-pests-were-ensnared.md,16.4,todo
how-the-coyote-danced-with-the-blackbirds.md,8.0,todo
how-the-coyotes-tried-to-steal-the-children-of-the-sacred-dance.md,6.6,todo
how-the-gopher-raced-with-the-runners-of-k-i-kime.md,10.4,todo
how-the-rattlesnakes-came-to-be-what-they-are.md,3.4,todo
how-the-summer-birds-came.md,38.6,todo
how-the-turtle-out-hunting-duped-the-coyote.md,16.2,todo
introduction.md,15.7,todo
jackrabbit-and-cottontail.md,0.6,todo
or-the-maiden-of-m-tsaki-and-the-red-feather.md,46.3,todo
or-the-origin-of-anger.md,65.0,todo
or-the-origin-of-the-society-of-rattlesnakes.md,34.1,todo
or-why-coyotes-run-their-noses-into-deadfalls.md,18.3,todo
tahsaia-the-cannibal-demon.md,27.8,todo
the-cock-and-the-mouse.md,17.1,todo
the-coyote-and-the-beetle.md,2.0,todo
the-coyote-and-the-locust.md,8.9,todo
the-coyote-and-the-ravens-who-raced-their-eyes.md,8.9,todo
the-foster-child-of-the-deer.md,25.1,todo
the-hermit-m-tsina.md,17.7,todo
the-maiden-of-the-yellow-rocks.md,36.7,todo
the-origin-of-the-priests-and-chiefs-of-the-dance-of-victory.md,36.7,todo
the-poor-turkey-girl.md,14.0,todo
the-prairie-dogs-and-their-priest-the-burrowing-owl.md,10.2,todo
the-rabbit-huntress-and-her-adventures.md,18.3,todo
the-serpent-of-the-sea.md,14.6,todo
the-ugly-wild-boy-who-drove-the-bear-away-from-southeastern-mesa.md,8.7,todo
the-warrior-suitor-of-moki.md,26.4,todo
the-young-swift-runner-who-was-stripped-of-his-clothing-by-the-aged-tarantula.md,27.4,todo
the-youth-and-his-eagle.md,27.9,todo
