file,size_kb,status
dedication.md,0.0,todo
endnotes.md,0.2,todo
i.md,3.8,todo
ii.md,27.9,todo
iii.md,21.7,todo
iv.md,26.0,todo
ix.md,12.0,todo
preface.md,0.5,todo
prooimion.md,108.5,todo
v.md,25.7,todo
vi.md,28.5,todo
vii.md,28.6,todo
viii.md,26.1,todo
x.md,33.6,todo
xi.md,63.0,todo
xii.md,12.2,todo
xiii.md,41.0,todo
xiv.md,23.0,todo
xix.md,31.5,todo
xv.md,34.4,todo
xvi.md,16.0,todo
xvii.md,22.7,todo
xviii.md,9.4,todo
xx.md,26.2,todo
xxi.md,16.4,todo
xxii.md,51.4,todo
xxiii.md,9.3,todo
xxiv.md,17.2,todo
