file,size_kb,status
01-asteroid-of-the-damned.md,41.7,done
02-conspiracy-on-callisto.md,9.4,done
03-double-cross.md,19.3,done
04-let-the-ants-try.md,24.6,done
05-the-tunnel-under-the-world.md,12.3,done
06-pythias.md,10.2,done
07-the-day-of-the-boomer-dukes.md,13.2,done
08-the-engineer.md,15.5,done
09-my-lady-greensleeves.md,7.9,done
10-survival-kit.md,7.1,done
11-the-hated.md,21.5,done
12-the-knights-of-arthur.md,12.5,done
13-wolfbane.md,14.3,done
14-the-five-hells-of-orion.md,6.4,done
