file,size_kb,status
01-the-episode-in-the-plymouth-hotel.md,26.0,todo
02-burglary.md,20.4,todo
03-the-launch-enid.md,24.8,todo
04-concerning-a-peerage.md,21.7,todo
05-an-amateur-sleuth.md,23.6,todo
06-the-house-in-hopefield-avenue.md,18.2,todo
07-miss-joan-merrill.md,23.4,todo
08-a-council-of-war.md,23.4,todo
09-mr-speedwell-plays-his-hand.md,23.9,todo
10-the-new-firm-gets-busy.md,22.3,todo
11-otto-schulz-s-secret.md,25.5,todo
12-in-the-enemy-s-lair.md,25.7,todo
13-inspector-french-takes-charge.md,22.9,todo
14-the-clue-of-the-clay-marked-shoe.md,23.9,todo
15-the-torn-hotel-bill.md,24.9,todo
16-a-tale-of-two-cities.md,24.2,todo
17-on-the-flood-tide.md,23.6,todo
18-a-visitor-from-india.md,21.9,todo
19-the-message-of-the-tracing.md,24.0,todo
20-the-goal-of-the-l-escaut.md,22.9,todo
