file,size_kb,status
chapter-1.md,22.3,todo
chapter-2.md,23.7,todo
chapter-3.md,22.4,todo
chapter-4.md,21.5,todo
chapter-5.md,15.6,todo
chapter-6.md,14.5,todo
chapter-7.md,25.6,todo
chapter-8.md,21.2,todo
chapter-9.md,20.2,todo
chapter-10.md,20.2,todo
chapter-11.md,14.9,todo
chapter-12.md,24.7,todo
chapter-13.md,24.2,todo
chapter-14.md,19.5,todo
chapter-15.md,20.3,todo
chapter-16.md,16.0,todo
chapter-17.md,23.8,todo
chapter-18.md,19.8,todo
chapter-19.md,32.6,todo
chapter-20.md,18.1,todo
