file,size_kb,status
chapter-1.md,24.5,todo
chapter-2.md,25.0,todo
chapter-3.md,24.4,todo
chapter-4.md,30.6,todo
chapter-5.md,26.5,todo
chapter-6.md,26.1,todo
chapter-7.md,27.4,todo
chapter-8.md,25.5,todo
chapter-9.md,21.5,todo
chapter-10.md,30.3,todo
chapter-11.md,22.9,todo
chapter-12.md,30.3,todo
chapter-13.md,20.7,todo
chapter-14.md,22.0,todo
chapter-15.md,25.5,todo
chapter-16.md,16.8,todo
chapter-17.md,28.9,todo
chapter-18.md,18.6,todo
chapter-19.md,22.3,todo
chapter-20.md,20.0,todo
dedication.md,0.1,todo
