file,size_kb,status
01-enter-three-hussars.md,22.2,done
02-a-right-hand-glove.md,19.5,done
03-nine-for-a-party.md,11.9,done
04-sos-from-nowhere.md,9.8,done
05-sid-insists-on-ghostgirls.md,6.9,done
06-crete-circa-1300-bc.md,8.3,done
07-time-to-think.md,16.6,done
08-a-place-to-stand.md,21.1,done
09-a-locked-room.md,12.8,done
10-motives-and-opportunities.md,10.6,done
11-the-western-front-1917.md,11.4,done
12-a-big-opportunity.md,17.0,done
13-the-tiger-is-loose.md,9.8,done
14-now-will-you-talk.md,9.6,done
15-lord-spider.md,13.0,done
16-the-possibility-binders.md,15.3,done
