file,size_kb,status
chapter-1.md,35.3,todo
chapter-2.md,35.2,todo
chapter-3.md,37.2,todo
chapter-4.md,35.1,todo
chapter-5.md,35.6,todo
chapter-6.md,37.3,todo
chapter-7.md,33.7,todo
chapter-8.md,37.3,todo
chapter-9.md,34.7,todo
chapter-10.md,36.4,todo
chapter-11.md,38.8,todo
chapter-12.md,44.6,todo
chapter-13.md,36.0,todo
chapter-14.md,34.9,todo
chapter-15.md,39.5,todo
chapter-16.md,33.0,todo
chapter-17.md,34.6,todo
chapter-18.md,35.9,todo
chapter-19.md,35.0,todo
chapter-20.md,35.4,todo
chapter-21.md,53.4,todo
preface.md,1.8,todo
