file,size_kb,status
01-part-i-the-enigmas-of-innocent-smith.md,0.0,done
02-how-the-great-wind-came-to-beacon-house.md,25.3,done
03-the-luggage-of-an-optimist.md,23.2,done
04-the-banner-of-beacon.md,23.5,done
05-the-garden-of-the-god.md,25.0,done
06-the-allegorical-practical-joker.md,43.6,done
07-part-ii-the-explanations-of-innocent-smith.md,0.0,done
08-the-eye-of-death-or-the-murder-charge.md,48.7,done
09-the-two-curates-or-the-burglary-charge.md,54.4,done
10-the-round-road-or-the-desertion-charge.md,42.1,done
11-the-wild-weddings-or-the-polygamy-charge.md,31.8,done
12-how-the-great-wind-went-from-beacon-house.md,6.3,done
