file,size_kb,status
0.1-dedication.md,0.5,todo
0.2-extracts-from-a-letter-written-oct-29-1876-to-mrs-harriet-beecher-stowe.md,2.4,todo
0.3-epigraph.md,0.3,todo
0.9-book-1-the-spoiled-child.md,0.0,todo
chapter-1.md,17.1,todo
chapter-2.md,15.1,todo
chapter-3.md,36.3,todo
chapter-4.md,9.5,todo
chapter-5.md,19.5,todo
chapter-6.md,29.0,todo
chapter-7.md,39.6,todo
chapter-8.md,13.2,todo
chapter-9.md,19.7,todo
chapter-10.md,19.3,todo
10.5-book-2-meeting-streams.md,0.0,todo
chapter-11.md,30.5,todo
chapter-12.md,10.6,todo
chapter-13.md,33.0,todo
chapter-14.md,24.2,todo
chapter-15.md,17.5,todo
chapter-16.md,47.6,todo
chapter-17.md,23.4,todo
chapter-18.md,13.2,todo
18.5-book-3-maidens-choosing.md,0.0,todo
chapter-19.md,7.5,todo
chapter-20.md,42.0,todo
chapter-21.md,21.9,todo
chapter-22.md,28.4,todo
chapter-23.md,34.8,todo
chapter-24.md,25.4,todo
chapter-25.md,21.3,todo
chapter-26.md,15.8,todo
chapter-27.md,21.6,todo
27.5-book-4-gwendolen-gets-her-choice.md,0.0,todo
chapter-28.md,36.8,todo
chapter-29.md,27.1,todo
chapter-30.md,32.0,todo
chapter-31.md,15.7,todo
chapter-32.md,45.5,todo
chapter-33.md,32.4,todo
chapter-34.md,15.5,todo
34.5-book-5-mordecai.md,0.0,todo
chapter-35.md,64.8,todo
chapter-36.md,52.1,todo
chapter-37.md,33.6,todo
chapter-38.md,21.9,todo
chapter-39.md,20.3,todo
chapter-40.md,35.3,todo
40.5-book-6-revelations.md,0.0,todo
chapter-41.md,16.6,todo
chapter-42.md,53.0,todo
chapter-43.md,15.6,todo
chapter-44.md,20.3,todo
chapter-45.md,21.8,todo
chapter-46.md,24.9,todo
chapter-47.md,11.4,todo
chapter-48.md,64.3,todo
chapter-49.md,4.6,todo
49.5-book-7-the-mother-and-the-son.md,0.0,todo
chapter-50.md,15.3,todo
chapter-51.md,38.1,todo
chapter-52.md,41.0,todo
chapter-53.md,17.9,todo
chapter-54.md,32.9,todo
chapter-55.md,8.9,todo
chapter-56.md,24.6,todo
chapter-57.md,9.0,todo
57.5-book-8-fruit-and-seed.md,0.0,todo
chapter-58.md,19.3,todo
chapter-59.md,13.4,todo
chapter-60.md,13.0,todo
chapter-61.md,22.7,todo
chapter-62.md,17.7,todo
chapter-63.md,24.6,todo
chapter-64.md,22.8,todo
chapter-65.md,17.2,todo
chapter-66.md,13.4,todo
chapter-67.md,16.0,todo
chapter-68.md,13.5,todo
chapter-69.md,32.2,todo
chapter-70.md,7.6,todo
99-endnotes.md,0.2,todo
