file,size_kb,status
endnotes.md,7.5,todo
his-adventures-with-the-enchanted-tree-and-revenge-of-his-father-s-murder.md,22.2,todo
his-ascent-into-heaven.md,10.2,todo
how-he-was-murdered-and-avenged.md,10.8,todo
ko-manaia-ko-kuiwai.md,25.3,todo
ko-ng-puhi-a-puarata-r-ua-ko-taut-hito.md,8.8,todo
ko-te-k-rero-mo-ng-patupaiarehe.md,4.9,todo
ko-te-matenga-o-kiki.md,6.6,todo
list-of-illustrations.md,0.9,todo
on-new-zealand-and-polynesian-ethnology.md,22.8,todo
on-the-native-songs-of-new-zealand.md,23.4,todo
preface-to-the-first-edition.md,14.0,todo
preface-to-the-second-edition.md,14.3,todo
stratagem-of-puhihuia-s-elopement-with-te-ponga.md,13.6,todo
te-kanawa-s-adventure-with-a-troop-of-fairies.md,3.9,todo
the-dissensions-which-led-to-the-migrations-from-hawaiki.md,11.5,todo
the-history-of-p-oa-the-ancestor-of-the-ng-ti-p-oa-tribe.md,61.0,todo
the-legend-of-hatupatu-and-his-brothers.md,23.9,todo
the-legend-of-kae-s-theft-of-the-whale.md,11.0,todo
the-legend-of-m-ui.md,54.3,todo
the-legend-of-poutini-and-whaiapu.md,4.2,todo
the-legend-of-t-whaki.md,26.7,todo
the-loves-of-takarangi-and-raumahora.md,5.2,todo
the-maiden-of-rotorua.md,13.0,todo
the-progenitor-of-the-ng-ti-awa-tribes.md,16.5,todo
the-progenitor-of-the-whanganui-tribes.md,22.8,todo
the-story-of-marut-hu-the-son-of-hotunui-and-of-kahureremoa-the-daughter-of-paka.md,31.6,todo
the-voyage-to-new-zealand.md,32.3,todo
tradition-relating-to-the-origin-of-the-human-race.md,17.3,todo
