file,size_kb,status
chapter-1.md,7.9,done
chapter-2.md,6.5,done
chapter-3.md,26.8,done
chapter-4.md,6.4,done
chapter-5.md,5.9,done
chapter-6.md,5.5,done
chapter-7.md,5.7,done
chapter-8.md,4.7,done
chapter-9.md,6.4,done
chapter-10.md,11.3,done
chapter-11.md,7.6,done
chapter-12.md,6.2,done
chapter-13.md,3.7,done
chapter-14.md,3.6,done
chapter-15.md,8.8,done
chapter-16.md,12.2,done
chapter-17.md,7.6,done
chapter-18.md,3.9,done
chapter-19.md,4.6,done
chapter-20.md,20.3,done
chapter-21.md,6.6,done
chapter-22.md,8.0,done
chapter-23.md,8.0,done
chapter-24.md,6.4,done
chapter-25.md,7.2,done
chapter-26.md,7.6,done
chapter-27.md,3.3,done
