file,size_kb,status
01-epigraph.md,0.1,todo
02-first-series.md,0.0,todo
03-dedication-1.md,0.1,todo
04-chapter-1-1.md,25.9,todo
05-chapter-1-2.md,22.8,todo
06-chapter-1-3.md,15.7,todo
07-chapter-1-4.md,32.7,todo
08-chapter-1-5.md,17.4,todo
09-chapter-1-6.md,6.7,todo
10-chapter-1-7.md,36.5,todo
11-chapter-1-8.md,16.7,todo
12-chapter-1-9.md,8.7,todo
13-chapter-1-10.md,27.7,todo
14-chapter-1-11.md,14.2,todo
15-chapter-1-12.md,12.9,todo
16-second-series.md,0.0,todo
17-dedication-2.md,0.1,todo
18-chapter-2-1.md,28.2,todo
19-chapter-2-2.md,24.8,todo
20-chapter-2-3.md,24.3,todo
21-chapter-2-4.md,26.4,todo
22-chapter-2-5.md,28.1,todo
23-chapter-2-6.md,23.7,todo
24-chapter-2-7.md,31.4,todo
25-chapter-2-8.md,26.9,todo
26-chapter-2-9.md,20.2,todo
27-chapter-2-10.md,53.0,todo
28-chapter-2-11.md,32.6,todo
29-chapter-2-12.md,44.1,todo
30-third-series.md,0.0,todo
31-dedication-3.md,0.2,todo
32-chapter-3-1.md,28.4,todo
33-chapter-3-2.md,19.8,todo
34-chapter-3-3.md,16.0,todo
35-chapter-3-4.md,31.9,todo
36-chapter-3-5.md,17.4,todo
37-chapter-3-6.md,12.1,todo
38-chapter-3-7.md,62.6,todo
39-chapter-3-8.md,22.4,todo
40-chapter-3-9.md,30.9,todo
41-chapter-3-10.md,23.5,todo
42-chapter-3-11.md,20.7,todo
43-chapter-3-12.md,18.4,todo
44-endnotes.md,2.2,todo
