file,size_kb,status
dedication.md,0.0,todo
epilogue.md,7.4,todo
i.md,24.0,todo
ii.md,21.3,todo
iii.md,15.5,todo
iv.md,18.3,todo
ix.md,22.7,todo
list-of-illustrations.md,0.2,todo
pedigree-of-the-house-of-beauvallet.md,7.3,todo
v.md,21.5,todo
vi.md,28.1,todo
vii.md,22.3,todo
viii.md,21.7,todo
x.md,25.2,todo
xi.md,19.4,todo
xii.md,12.4,todo
xiii.md,18.8,todo
xiv.md,15.8,todo
xix.md,16.2,todo
xv.md,18.9,todo
xvi.md,18.0,todo
xvii.md,23.7,todo
xviii.md,17.9,todo
xx.md,11.1,todo
xxi.md,18.7,todo
xxii.md,19.3,todo
xxiii.md,15.1,todo
xxiv.md,15.1,todo
xxv.md,17.7,todo
