file,size_kb,status
part-1.md,0.0,done
chapter-1-1.md,12.3,done
chapter-1-2.md,18.8,done
chapter-1-3.md,36.6,done
chapter-1-4.md,21.0,done
chapter-1-5.md,23.5,done
chapter-1-6.md,19.4,done
chapter-1-7.md,13.0,done
chapter-1-8.md,11.8,done
chapter-1-9.md,26.8,done
chapter-1-10.md,18.8,done
chapter-1-11.md,11.4,done
part-2.md,0.0,done
chapter-2-1.md,13.9,done
chapter-2-2.md,7.7,done
chapter-2-3.md,28.0,done
chapter-2-4.md,20.7,done
chapter-2-5.md,8.5,done
chapter-2-6.md,14.8,done
chapter-2-7.md,12.0,done
chapter-2-8.md,14.6,done
chapter-2-9.md,16.9,done
chapter-2-10.md,12.5,done
chapter-2-11.md,17.2,done
chapter-2-12.md,20.4,done
chapter-2-13.md,17.3,done
chapter-2-14.md,10.9,done
chapter-2-15.md,14.2,done
chapter-2-16.md,8.9,done
chapter-2-17.md,11.7,done
chapter-2-18.md,10.0,done
chapter-2-19.md,6.1,done
chapter-2-20.md,9.9,done
chapter-2-21.md,11.3,done
dedication.md,0.1,done
endnotes.md,0.2,done
