file,size_kb,status
chapter-1.md,24.9,todo
chapter-2.md,21.5,todo
chapter-3.md,23.0,todo
chapter-4.md,20.2,todo
chapter-5.md,15.4,todo
chapter-6.md,18.4,todo
chapter-7.md,25.2,todo
chapter-8.md,18.6,todo
chapter-9.md,14.8,todo
chapter-10.md,13.0,todo
chapter-11.md,14.6,todo
chapter-12.md,17.9,todo
chapter-13.md,20.4,todo
chapter-14.md,14.5,todo
chapter-15.md,26.6,todo
chapter-16.md,14.9,todo
chapter-17.md,16.5,todo
chapter-18.md,20.9,todo
chapter-19.md,28.2,todo
chapter-20.md,13.5,todo
chapter-21.md,13.7,todo
chapter-22.md,21.0,todo
chapter-23.md,21.5,todo
chapter-24.md,15.7,todo
chapter-25.md,19.0,todo
chapter-26.md,15.0,todo
chapter-27.md,13.5,todo
chapter-28.md,21.2,todo
chapter-29.md,8.8,todo
epilogue.md,3.8,todo
prologue.md,2.5,todo
