file,size_kb,status
01-dedicatory.md,0.4,done
02-preface.md,0.9,done
03-introductory.md,10.4,done
04-the-apaches.md,0.0,done
05-origin-of-the-apache-indians.md,7.2,done
06-subdivisions-of-the-apache-tribe.md,3.1,done
07-early-life.md,6.6,done
08-tribal-amusements-manners-and-customs.md,7.2,done
09-the-family.md,3.4,done
10-the-mexicans.md,0.0,done
11-kas-ki-yeh.md,9.8,done
12-fighting-under-difficulties.md,11.7,done
13-raids-that-were-successful.md,8.0,done
14-varying-fortunes.md,5.7,done
15-other-raids.md,10.4,done
16-heavy-fighting.md,5.2,done
17-geronimo-s-mightiest-battle.md,4.9,done
18-the-white-men.md,0.0,done
19-coming-of-the-white-men.md,4.6,done
20-greatest-of-wrongs.md,5.2,done
21-removals.md,3.4,done
22-in-prison-and-on-the-warpath.md,6.7,done
23-the-final-struggle.md,7.4,done
24-surrender-of-geronimo.md,21.2,done
25-a-prisoner-of-war.md,4.2,done
26-the-old-and-the-new.md,0.0,done
27-unwritten-laws-of-the-apaches.md,9.6,done
28-at-the-world-s-fair.md,7.9,done
29-religion.md,4.7,done
30-hopes-for-the-future.md,3.0,done
31-endnotes.md,11.6,done
32-list-of-illustrations.md,1.5,done
