file,size_kb,status
chapter-1.md,14.2,done
chapter-2.md,10.6,done
chapter-3.md,11.2,done
chapter-4.md,10.3,done
chapter-5.md,11.8,done
chapter-6.md,7.2,done
chapter-7.md,8.6,done
chapter-8.md,9.0,done
chapter-9.md,5.3,done
chapter-10.md,5.0,done
chapter-11.md,9.9,done
chapter-12.md,10.5,done
chapter-13.md,12.0,done
chapter-14.md,21.6,done
chapter-15.md,13.6,done
chapter-16.md,14.4,done
chapter-17.md,18.7,done
chapter-18.md,11.6,done
chapter-19.md,14.1,done
chapter-20.md,20.7,done
chapter-21.md,39.3,done
chapter-22.md,16.2,done
chapter-23.md,12.0,done
dedication.md,0.0,done
