file,size_kb,status
practice-50-mm-gun.md,14.0,done
aboard-the-javelin.md,13.6,done
bottom-level.md,16.6,done
castaways-working.md,10.1,done
civil-war-postponed.md,13.0,done
darkness-and-cold.md,12.9,done
dedication.md,0.1,done
elementary-my-dear-kivelson.md,13.4,done
endnotes.md,0.0,done
finale.md,22.5,done
main-city-level.md,16.3,done
masks-off.md,26.5,done
mayday-mayday.md,14.2,done
meeting-out-of-order.md,17.5,done
monster-killing.md,11.0,done
reporter-working.md,19.2,done
tallow-wax-fire.md,16.4,done
the-beacon-light.md,8.5,done
the-rescue.md,10.5,done
the-ship-from-terra.md,21.7,done
the-treason-of-bish-ware.md,15.9,done
vigilantes.md,19.8,done
