file,size_kb,status
chapter-1.md,15.3,todo
chapter-2.md,17.2,todo
chapter-3.md,16.0,todo
chapter-4.md,12.2,todo
chapter-5.md,17.8,todo
chapter-6.md,13.9,todo
chapter-7.md,17.1,todo
chapter-8.md,10.1,todo
chapter-9.md,29.9,todo
chapter-10.md,29.0,todo
chapter-11.md,20.2,todo
chapter-12.md,18.0,todo
chapter-13.md,17.4,todo
chapter-14.md,20.4,todo
chapter-15.md,17.2,todo
chapter-16.md,15.9,todo
chapter-17.md,23.5,todo
chapter-18.md,9.4,todo
chapter-19.md,23.5,todo
chapter-20.md,18.6,todo
chapter-21.md,27.9,todo
dedication.md,0.2,todo
