file,size_kb,status
01-i.md,9.1,done
02-ii.md,11.1,done
03-iii.md,8.4,done
04-iv.md,8.6,done
05-v.md,10.2,done
06-vi.md,16.0,done
07-vii.md,11.9,done
08-viii.md,14.8,done
09-ix.md,18.8,done
10-x.md,9.5,done
11-xi.md,9.7,done
12-xii.md,17.6,done
13-xiii.md,7.4,done
14-xiv.md,15.8,done
15-xv.md,14.3,done
16-xvi.md,14.7,done
17-xvii.md,15.4,done
18-xviii.md,13.7,done
19-xix.md,12.4,done
20-xx.md,18.5,done
21-xxi.md,17.0,done
22-xxii.md,15.6,done
23-xxiii.md,19.2,done
24-xxiv.md,13.3,done
25-xxv.md,23.6,done
26-xxvi.md,14.4,done
27-xxvii.md,20.4,done
