file,size_kb,status
00-prologue.md,25.9,todo
01-in-which-he-takes-tea-at-the-carlton-and-is-surprised.md,31.3,todo
02-in-which-he-journeys-to-godalming-and-the-game-begins.md,37.3,todo
03-in-which-things-happen-in-half-moon-street.md,35.4,todo
04-in-which-he-spends-a-quiet-night-at-the-elms.md,33.4,todo
05-in-which-there-is-trouble-at-goring.md,33.2,todo
06-in-which-a-very-old-game-takes-place-on-the-hog-s-back.md,34.4,todo
07-in-which-he-spends-an-hour-or-two-on-a-roof.md,39.4,todo
08-in-which-he-goes-to-paris-for-a-night.md,36.7,todo
09-in-which-he-has-a-near-shave.md,34.3,todo
10-in-which-the-hun-nation-decreases-by-one.md,36.2,todo
11-in-which-lakington-plays-his-last-coup.md,40.2,todo
12-in-which-the-last-round-takes-place.md,36.7,todo
13-epilogue.md,3.8,todo
