file,size_kb,status
chitterlow.md,41.2,todo
discords.md,34.5,todo
engaged.md,34.7,todo
epigraph.md,0.4,todo
kipps-enters-society.md,34.8,todo
kippses.md,0.0,todo
london.md,61.4,todo
mr-coote-the-chaperon.md,0.0,todo
swapped.md,14.6,todo
terminations.md,49.1,todo
the-bicycle-manufacturer.md,18.0,todo
the-callers.md,23.8,todo
the-emporium.md,39.6,todo
the-housing-problem.md,39.0,todo
the-labyrinthodon.md,15.0,todo
the-little-shop-at-new-romney.md,45.5,todo
the-making-of-kipps.md,0.0,todo
the-new-conditions.md,43.8,todo
the-pupil-lover.md,31.1,todo
the-unexpected.md,50.4,todo
the-walshinghams.md,21.5,todo
the-woodcarving-class.md,32.8,todo
