file,size_kb,status
in-the-web-of-the-ineffective.md,141.5,todo
malignity.md,58.7,todo
matching-s-easy-at-ease.md,0.0,todo
matching-s-easy-at-war.md,0.0,todo
mr-britling-continues-his-exposition.md,72.4,todo
mr-britling-in-soliloquy.md,50.3,todo
mr-britling-writes-until-sunrise.md,46.5,todo
mr-direck-visits-mr-britling.md,57.8,todo
mrs-teddy-goes-for-a-walk.md,60.6,todo
onlookers.md,75.5,todo
taking-part.md,80.5,todo
the-coming-of-the-day.md,114.0,todo
the-entertainment-of-mr-direck-reaches-a-climax.md,43.4,todo
the-testament-of-matching-s-easy.md,0.0,todo
