file,size_kb,status
after-dinner-continued-2.md,3.9,done
at-the-vicarage-continued-2.md,4.3,done
the-angel-explores-the-village-continued-2.md,6.8,done
the-angel-s-debut-continued-2.md,0.9,done
the-curate-continued-2.md,3.6,done
the-hunting-of-the-strange-bird-continued-2.md,3.7,done
the-last-day-of-the-visit-continued-2.md,0.9,done
the-vicar-and-the-angel-continued-2.md,3.5,done
after-dinner-continued-3.md,3.6,done
the-angel-explores-the-village-continued-3.md,4.6,done
the-angel-s-debut-continued-3.md,2.6,done
the-last-day-of-the-visit-continued-3.md,2.4,done
the-last-day-of-the-visit-continued-4.md,2.5,done
the-last-day-of-the-visit-continued-5.md,1.3,done
a-trivial-incident.md,1.3,done
after-dinner-continued.md,1.8,done
after-dinner.md,9.2,done
at-the-vicarage-continued.md,2.3,done
at-the-vicarage.md,3.4,done
dedication.md,0.0,done
delia.md,4.0,done
doctor-crump-acts.md,8.4,done
further-adventures-of-the-angel-in-the-village-continued.md,6.6,done
further-adventures-of-the-angel-in-the-village.md,5.6,done
lady-hammergallow-s-view.md,7.4,done
morning.md,3.1,done
mrs-hinijer-acts.md,3.7,done
mrs-jehoram-s-breadth-of-view.md,4.9,done
parenthesis-on-angels.md,2.3,done
sir-john-gotch-acts.md,4.2,done
the-angel-explores-the-village-continued.md,2.0,done
the-angel-explores-the-village.md,5.8,done
the-angel-in-trouble-continued.md,3.2,done
the-angel-in-trouble.md,3.0,done
the-angel-s-debut-continued.md,3.1,done
the-angel-s-debut.md,18.0,done
the-coming-of-the-strange-bird.md,3.7,done
the-curate-continued.md,5.6,done
the-curate.md,4.4,done
the-epilogue.md,2.6,done
the-hunting-of-the-strange-bird-continued.md,2.0,done
the-hunting-of-the-strange-bird.md,2.8,done
the-last-day-of-the-visit-continued.md,5.0,done
the-last-day-of-the-visit.md,4.7,done
the-man-of-science-continued.md,5.3,done
the-man-of-science.md,4.5,done
the-night-of-the-strange-bird.md,1.9,done
the-sea-cliff.md,3.0,done
the-trouble-of-the-barbed-wire-continued.md,2.8,done
the-trouble-of-the-barbed-wire.md,5.3,done
the-vicar-and-the-angel-continued.md,2.8,done
the-vicar-and-the-angel.md,10.1,done
the-violin.md,4.2,done
the-warp-and-the-woof-of-things.md,3.1,done
