file,size_kb,status
chapter-1.md,5.3,done
chapter-2.md,14.7,done
chapter-3.md,24.1,done
chapter-4.md,22.4,done
chapter-5.md,13.8,done
chapter-6.md,19.8,done
chapter-7.md,14.8,done
chapter-8.md,6.4,done
chapter-9.md,5.5,done
chapter-10.md,2.1,done
chapter-11.md,3.9,done
chapter-12.md,7.2,done
chapter-13.md,9.2,done
chapter-14.md,6.9,done
chapter-15.md,8.2,done
chapter-16.md,8.1,done
chapter-17.md,10.2,done
chapter-18.md,12.2,done
chapter-19.md,11.4,done
chapter-20.md,8.3,done
chapter-21.md,16.2,done
chapter-22.md,13.1,done
chapter-23.md,6.5,done
chapter-24.md,11.6,done
chapter-25.md,10.9,done
chapter-26.md,18.5,done
chapter-27.md,17.7,done
chapter-28.md,10.8,done
chapter-29.md,5.9,done
chapter-30.md,8.4,done
chapter-31.md,4.8,done
chapter-32.md,8.1,done
chapter-33.md,4.9,done
chapter-34.md,8.8,done
chapter-35.md,5.3,done
chapter-36.md,13.6,done
chapter-37.md,7.5,done
chapter-38.md,11.7,done
chapter-39.md,2.9,done
chapter-40.md,3.1,done
dedication.md,0.0,done
