file,size_kb,status
chapter-1.md,20.6,todo
chapter-2.md,19.8,todo
chapter-3.md,20.2,todo
chapter-4.md,23.1,todo
chapter-5.md,22.8,todo
chapter-6.md,26.3,todo
chapter-7.md,23.9,todo
chapter-8.md,24.2,todo
chapter-9.md,24.8,todo
chapter-10.md,24.4,todo
chapter-11.md,27.5,todo
chapter-12.md,30.2,todo
chapter-13.md,24.7,todo
chapter-14.md,23.8,todo
chapter-15.md,17.1,todo
chapter-16.md,21.8,todo
chapter-17.md,27.3,todo
chapter-18.md,28.8,todo
chapter-19.md,24.4,todo
chapter-20.md,30.9,todo
chapter-21.md,20.3,todo
chapter-22.md,20.1,todo
chapter-23.md,27.0,todo
chapter-24.md,30.1,todo
chapter-25.md,25.7,todo
chapter-26.md,22.5,todo
chapter-27.md,12.8,todo
dedication.md,1.1,todo
endnotes.md,0.2,todo
epilogue.md,2.8,todo
