file,size_kb,status
cope-absent-from-a-wedding.md,10.0,todo
cope-again-in-the-country.md,10.9,todo
cope-amidst-cross-purposes.md,11.7,todo
cope-among-crosscurrents.md,14.2,todo
cope-as-a-go-between.md,12.2,todo
cope-as-a-hero.md,10.2,todo
cope-at-a-college-tea.md,16.5,todo
cope-at-his-house-party.md,12.4,todo
cope-at-the-call-of-duty.md,18.0,todo
cope-dines-again-and-stays-after.md,17.6,todo
cope-dines-and-tells-about-it.md,14.3,todo
cope-enlivens-the-country.md,12.8,todo
cope-entertains-several-ladies.md,15.7,todo
cope-escapes-a-snare.md,10.7,todo
cope-finds-himself-committed.md,12.3,todo
cope-gets-new-light-on-his-chum.md,10.3,todo
cope-goes-a-sailing.md,13.6,todo
cope-has-a-distressful-christmas.md,14.8,todo
cope-in-a-final-view.md,12.6,todo
cope-in-danger-anew.md,12.8,todo
cope-in-double-danger.md,9.2,todo
cope-is-considered-further.md,12.4,todo
cope-is-considered.md,13.0,todo
cope-is-entertained.md,10.0,todo
cope-makes-a-sunday-afternoon-call.md,10.3,todo
cope-makes-an-evasion.md,14.3,todo
cope-on-the-edge-of-things.md,11.5,todo
cope-regains-his-freedom.md,9.7,todo
cope-safeguarded-calls-again.md,15.0,todo
cope-shall-be-rescued.md,11.2,todo
cope-takes-his-degree.md,9.2,todo
cope-under-scrutiny.md,12.1,todo
cope-undertakes-an-excursion.md,11.2,todo
