file,size_kb,status
01-dedication.md,0.1,todo
02-to-maurice-baring.md,12.9,todo
03-cruise-part-01.md,40.3,todo
04-cruise-part-02.md,41.4,todo
05-cruise-part-03.md,14.4,todo
06-cruise-part-04.md,45.8,todo
07-cruise-part-05.md,46.2,todo
08-cruise-part-06.md,31.7,todo
09-cruise-part-07.md,34.6,todo
10-cruise-part-08.md,33.7,todo
11-cruise-part-09.md,43.3,todo
12-cruise-part-10.md,44.0,todo
13-cruise-part-11.md,32.1,todo
14-cruise-part-12.md,36.9,todo
15-cruise-part-13.md,50.3,todo
16-cruise-part-14.md,29.3,todo
17-cruise-part-15.md,43.6,todo
18-cruise-part-16.md,21.5,todo
