file,size_kb,status
conclusion.md,3.8,todo
dedication.md,0.0,todo
definitions.md,24.5,todo
endnotes.md,3.3,todo
epigraph.md,0.1,todo
how-the-distributive-state-failed.md,28.7,todo
how-the-servile-institution-was-for-a-time-dissolved.md,18.5,todo
our-civilisation-was-originally-servile.md,10.0,todo
preface-to-second-edition.md,11.6,todo
socialism-is-the-easiest-apparent-solution-of-the-capitalist-crux.md,17.0,todo
the-capitalist-state-in-proportion-as-it-grows-perfect-grows-unstable.md,17.4,todo
the-reformers-and-reformed-are-alike-making-for-the-servile-state.md,45.6,todo
the-servile-state-has-begun.md,39.3,todo
the-stable-solutions-of-this-instability.md,6.6,todo
the-subject-of-this-book.md,5.6,todo
