file,size_kb,status
i-2.md,10.8,todo
ii-2.md,13.0,todo
iii-2.md,7.8,todo
iv-2.md,11.2,todo
ix-2.md,20.2,todo
v-2.md,13.7,todo
vi-2.md,17.5,todo
vii-2.md,17.1,todo
viii-2.md,18.0,todo
x-2.md,2.8,todo
xi-2.md,33.4,todo
xii-2.md,49.8,todo
xiii-2.md,19.8,todo
xiv-2.md,4.0,todo
xv-2.md,12.6,todo
xvi-2.md,11.3,todo
i-3.md,3.9,todo
ii-3.md,9.9,todo
iii-3.md,3.2,todo
iv-3.md,22.0,todo
ix-3.md,21.3,todo
v-3.md,18.5,todo
vi-3.md,12.1,todo
vii-3.md,9.2,todo
viii-3.md,8.2,todo
x-3.md,7.9,todo
xi-3.md,11.8,todo
xii-3.md,15.0,todo
xiii-3.md,11.2,todo
xiv-3.md,25.6,todo
dedication.md,0.1,todo
endnotes.md,0.2,todo
epigraph.md,0.5,todo
i.md,2.8,todo
ii.md,5.6,todo
iii.md,7.5,todo
iv.md,6.2,todo
ix.md,23.5,todo
lawrence.md,0.0,todo
markovitch-and-semyonov.md,0.0,todo
v.md,6.1,todo
vera-and-nina.md,0.0,todo
vi.md,10.1,todo
vii.md,19.1,todo
viii.md,20.6,todo
x.md,13.5,todo
xi.md,5.7,todo
xii.md,18.1,todo
xiii.md,6.5,todo
xiv.md,11.2,todo
xix.md,9.7,todo
xv.md,9.9,todo
xvi.md,15.0,todo
xvii.md,7.5,todo
xviii.md,17.5,todo
xx.md,9.3,todo
xxi.md,14.3,todo
xxii.md,12.7,todo
