file,size_kb,status
01-the-hackleton-case.md,32.5,done
02-the-affair-in-the-maze.md,28.2,done
03-the-immediate-results.md,16.4,done
04-the-chief-constable.md,19.5,done
05-the-evidence-in-the-case.md,27.6,done
06-the-toxicologist.md,18.5,done
07-the-pot-of-curare.md,19.8,done
08-opportunity-method-and-motive.md,16.8,done
09-the-burglary-at-whistlefield.md,22.6,done
10-the-third-attack-in-the-maze.md,22.0,done
11-the-squire-s-theories.md,32.6,done
12-the-fourth-attack.md,29.9,done
13-the-dart.md,25.6,done
14-the-forged-cheque.md,12.6,done
15-the-secretary-s-affairs.md,14.6,done
16-the-last-attack-in-the-maze.md,23.2,done
17-the-siege-in-the-maze.md,27.1,done
18-the-truth-of-the-matter.md,43.4,done
