file,size_kb,status
chapter-1.md,27.7,todo
chapter-2.md,16.9,todo
chapter-3.md,15.6,todo
chapter-4.md,10.4,todo
chapter-5.md,40.4,todo
chapter-6.md,43.9,todo
chapter-7.md,27.2,todo
chapter-8.md,39.3,todo
chapter-9.md,26.0,todo
chapter-10.md,14.2,todo
chapter-11.md,12.0,todo
chapter-12.md,58.0,todo
chapter-13.md,34.2,todo
chapter-14.md,29.2,todo
chapter-15.md,27.3,todo
chapter-16.md,28.7,todo
chapter-17.md,26.2,todo
chapter-18.md,30.6,todo
chapter-19.md,15.4,todo
chapter-20.md,9.6,todo
dedication.md,0.0,todo
endnotes.md,0.1,todo
