file,size_kb,status
chapter-1.md,25.0,todo
chapter-2.md,14.7,todo
chapter-3.md,28.0,todo
chapter-4.md,23.0,todo
chapter-5.md,31.7,todo
chapter-6.md,30.4,todo
chapter-7.md,31.0,todo
chapter-8.md,35.8,todo
chapter-9.md,35.8,todo
chapter-10.md,17.3,todo
chapter-11.md,20.6,todo
chapter-12.md,16.6,todo
chapter-13.md,16.0,todo
chapter-14.md,20.8,todo
chapter-15.md,18.2,todo
chapter-16.md,21.2,todo
chapter-17.md,23.5,todo
chapter-18.md,20.0,todo
chapter-19.md,22.4,todo
chapter-20.md,34.4,todo
chapter-21.md,18.2,todo
chapter-22.md,13.6,todo
endnotes.md,0.1,todo
