file,size_kb,status
chapter-1.md,11.2,done
chapter-2.md,14.3,done
chapter-3.md,14.9,done
chapter-4.md,10.6,done
chapter-5.md,13.4,done
chapter-6.md,6.2,done
chapter-7.md,6.0,done
chapter-8.md,17.7,done
chapter-9.md,12.8,done
chapter-10.md,2.6,done
chapter-11.md,15.7,done
chapter-12.md,13.4,done
chapter-13.md,15.9,done
chapter-14.md,16.5,done
chapter-15.md,16.7,done
chapter-16.md,20.5,done
chapter-17.md,29.3,done
chapter-18.md,15.6,done
chapter-19.md,6.5,done
chapter-20.md,11.5,done
chapter-21.md,14.1,done
chapter-22.md,14.6,done
chapter-23.md,15.4,done
chapter-24.md,13.5,done
chapter-25.md,4.8,done
chapter-26.md,14.8,done
