file,size_kb,status
chapter-1.md,17.2,done
chapter-2.md,16.5,done
chapter-3.md,17.0,done
chapter-4.md,17.4,done
chapter-5.md,17.6,done
chapter-6.md,17.3,done
chapter-7.md,17.9,done
chapter-8.md,16.9,done
chapter-9.md,16.9,done
chapter-10.md,16.8,done
chapter-11.md,16.3,done
chapter-12.md,16.4,done
chapter-13.md,16.3,done
chapter-14.md,16.8,done
chapter-15.md,18.7,done
chapter-16.md,14.5,done
chapter-17.md,20.2,done
chapter-18.md,13.2,done
chapter-19.md,17.6,done
chapter-20.md,17.1,done
chapter-21.md,16.5,done
chapter-22.md,16.1,done
chapter-23.md,15.8,done
chapter-24.md,13.9,done
chapter-25.md,14.6,done
chapter-26.md,14.6,done
chapter-27.md,16.4,done
