file,size_kb,status
chapter-1.md,16.8,todo
chapter-2.md,15.9,todo
chapter-3.md,16.8,todo
chapter-4.md,16.8,todo
chapter-5.md,16.6,todo
chapter-6.md,15.4,todo
chapter-7.md,12.1,todo
chapter-8.md,13.7,todo
chapter-9.md,13.4,todo
chapter-10.md,16.6,todo
chapter-11.md,17.6,todo
chapter-12.md,17.3,todo
chapter-13.md,14.3,todo
chapter-14.md,14.1,todo
chapter-15.md,13.8,todo
chapter-16.md,15.3,todo
chapter-17.md,16.5,todo
chapter-18.md,15.3,todo
chapter-19.md,14.1,todo
chapter-20.md,14.2,todo
chapter-21.md,14.5,todo
chapter-22.md,13.7,todo
chapter-23.md,11.8,todo
chapter-24.md,15.9,todo
chapter-25.md,12.2,todo
chapter-26.md,10.8,todo
chapter-27.md,12.2,todo
chapter-28.md,22.8,todo
