file,size_kb,status
00-acknowledgments.md,0.3,todo
00-foreword.md,8.0,todo
chapter-01.md,8.4,todo
chapter-02.md,9.8,todo
chapter-03.md,19.4,todo
chapter-04.md,31.2,todo
chapter-05.md,26.0,todo
chapter-06.md,20.6,todo
chapter-07.md,17.4,todo
chapter-08.md,21.5,todo
chapter-09.md,36.5,todo
chapter-10.md,14.8,todo
chapter-11.md,26.6,todo
chapter-12.md,23.7,todo
chapter-13.md,30.7,todo
chapter-14.md,12.0,todo
chapter-15.md,38.2,todo
chapter-16.md,19.5,todo
chapter-17.md,35.4,todo
chapter-18.md,35.7,todo
chapter-19.md,38.1,todo
chapter-20.md,31.4,todo
chapter-21.md,29.5,todo
chapter-22.md,20.8,todo
chapter-23.md,30.4,todo
chapter-24.md,36.0,todo
