file,size_kb,status
00-preface.md,1.1,todo
01-epigraph.md,0.7,todo
02-introduction.md,7.1,todo
03-genesis-of-the-tenement.md,11.3,todo
04-the-awakening.md,8.1,todo
05-the-mixed-crowd.md,11.6,todo
06-the-downtown-back-alleys.md,30.4,todo
07-the-italian-in-new-york.md,8.7,todo
08-the-bend.md,19.3,todo
09-a-raid-on-the-stale-beer-dives.md,14.1,todo
10-the-cheap-lodging-houses.md,15.3,todo
11-chinatown.md,17.9,todo
12-jewtown.md,21.9,todo
13-the-sweaters-of-jewtown.md,24.1,todo
14-the-bohemians-tenement-house-cigarmaking.md,18.4,todo
15-the-color-line-in-new-york.md,16.1,todo
16-the-common-herd.md,28.9,todo
17-the-problem-of-the-children.md,13.2,todo
18-waifs-of-the-city-s-slums.md,12.9,todo
19-the-street-arab.md,20.9,todo
20-the-reign-of-rum.md,9.3,todo
21-the-harvest-of-tares.md,25.3,todo
22-the-working-girls-of-new-york.md,13.9,todo
23-pauperism-in-the-tenements.md,17.7,todo
24-the-wrecks-and-the-waste.md,12.5,todo
25-the-man-with-the-knife.md,6.9,todo
26-what-has-been-done.md,21.8,todo
27-how-the-case-stands.md,22.8,todo
28-statistics-bearing-on-the-tenement-problem.md,2.1,todo
29-endnotes.md,5.8,todo
30-list-of-illustrations.md,2.0,todo
