file,size_kb,status
a-foreword.md,7.5,done
affairs-in-poictesme.md,13.5,done
alianora.md,9.7,done
ascent-of-vraidex.md,6.9,done
bandages-for-the-victor.md,6.4,done
da-capo.md,4.6,done
deals-with-the-stork.md,11.8,done
dedication.md,0.2,done
economics-of-math.md,5.5,done
epigraph.md,0.1,done
excursions-from-content.md,7.7,doing
farewell-to-alianora.md,11.5,done
farewell-to-freydis.md,12.9,done
farewell-to-suskind.md,5.6,done
freydis.md,9.5,done
how-manuel-left-the-mire.md,9.4,done
how-melicent-was-welcomed.md,9.1,done
ice-and-iron.md,11.5,done
in-the-doubtful-palace.md,21.4,done
magic-of-the-apsarasas.md,10.1,done
magic-of-the-image-makers.md,11.9,done
manuel-chooses.md,7.2,done
manuel-gets-his-desire.md,9.8,done
niafer.md,8.6,done
now-manuel-prospers.md,10.4,done
opinions-of-hinzelmann.md,13.4,done
return-of-niafer.md,6.1,done
sesphra-of-the-dreams.md,11.5,done
statecraft.md,6.2,done
the-book-of-cast-accounts.md,0.4,done
the-book-of-credit.md,0.4,done
the-book-of-settlement.md,0.4,done
the-book-of-spending.md,0.4,done
the-book-of-surcharge.md,0.3,done
the-crown-of-wisdom.md,9.0,done
the-eternal-ambuscade.md,9.3,done
the-feather-of-love.md,15.0,done
the-halo-of-holiness.md,10.2,todo
the-head-of-misery.md,6.0,done
the-month-of-years.md,8.6,doing
the-passing-of-manuel.md,16.1,done
the-redemption-of-poictesme.md,13.2,done
the-troubling-window.md,11.0,done
they-come-to-sargyll.md,7.9,done
they-duel-on-morven.md,17.4,done
three-women.md,6.5,done
touching-repayment.md,10.4,done
what-helmas-directed.md,6.8,done
