file,size_kb,status
chapter-1.md,11.7,todo
epigraph-1.md,0.1,todo
chapter-2.md,15.9,todo
epigraph-2.md,0.2,todo
chapter-3.md,14.2,todo
epigraph-3.md,0.2,todo
chapter-4.md,13.4,todo
chapter-5.md,13.5,todo
chapter-6.md,8.6,todo
chapter-7.md,15.7,todo
chapter-8.md,13.0,todo
chapter-9.md,21.3,todo
chapter-10.md,17.8,todo
chapter-11.md,22.1,todo
chapter-12.md,14.4,todo
chapter-13.md,14.9,todo
chapter-14.md,11.0,todo
chapter-15.md,13.7,todo
chapter-16.md,13.9,todo
chapter-17.md,23.2,todo
chapter-18.md,19.3,todo
chapter-19.md,25.1,todo
chapter-20.md,17.9,todo
chapter-21.md,19.4,todo
chapter-22.md,13.9,todo
chapter-23.md,13.7,todo
chapter-24.md,14.8,todo
chapter-25.md,9.9,todo
chapter-26.md,11.4,todo
chapter-27.md,26.1,todo
chapter-28.md,18.9,todo
chapter-29.md,14.9,todo
chapter-30.md,11.8,todo
dedication.md,0.1,todo
epilogue.md,2.6,todo
introduction.md,10.1,todo
prologue.md,13.1,todo
