file,size_kb,status
book-1.md,0.4,done
chapter-1.md,3.0,done
book-2.md,0.4,done
chapter-2.md,8.2,done
book-3.md,0.4,done
chapter-3.md,3.2,done
book-4.md,0.4,done
chapter-4.md,3.5,done
book-5.md,0.5,done
chapter-5.md,3.2,done
book-6.md,0.4,done
chapter-6.md,2.6,done
chapter-7.md,7.9,done
chapter-8.md,2.9,done
chapter-9.md,9.5,done
chapter-10.md,6.5,done
chapter-11.md,5.1,done
chapter-12.md,11.6,done
chapter-13.md,7.9,done
chapter-14.md,12.7,done
chapter-15.md,7.6,done
chapter-16.md,4.0,done
chapter-17.md,2.1,done
chapter-18.md,7.5,done
chapter-19.md,6.8,done
chapter-20.md,4.4,done
chapter-21.md,6.1,done
chapter-22.md,3.3,done
chapter-23.md,6.3,done
chapter-24.md,5.3,done
chapter-25.md,7.1,done
chapter-26.md,9.7,done
chapter-27.md,18.2,done
chapter-28.md,4.2,done
chapter-29.md,15.7,done
chapter-30.md,6.4,done
chapter-31.md,4.2,done
chapter-32.md,3.7,done
chapter-33.md,6.2,done
chapter-34.md,7.0,done
chapter-35.md,8.2,done
chapter-36.md,4.7,done
chapter-37.md,3.1,done
chapter-38.md,3.1,done
chapter-39.md,6.7,done
chapter-40.md,12.6,done
dedication.md,0.1,done
