file,size_kb,status
book-1.md,0.0,done
chapter-1.md,8.0,done
book-2.md,0.0,done
chapter-2.md,10.4,done
book-3.md,0.0,done
chapter-3.md,7.4,done
book-4.md,0.0,done
chapter-4.md,6.9,done
book-5.md,0.0,done
chapter-5.md,8.4,done
book-6.md,0.1,done
chapter-6.md,17.2,done
chapter-7.md,10.1,done
chapter-8.md,7.1,done
chapter-9.md,13.8,done
chapter-10.md,7.3,done
chapter-11.md,38.6,done
chapter-12.md,13.2,done
chapter-13.md,34.9,done
chapter-14.md,34.1,done
chapter-15.md,6.9,done
chapter-16.md,30.1,done
chapter-17.md,34.9,done
chapter-18.md,13.4,done
