file,size_kb,status
a-banjo-song.md,0.8,done
a-mid-day-dreamer.md,0.8,done
a-plantation-bacchanal.md,1.2,done
afterword.md,0.5,done
an-explanation.md,0.3,done
and-the-greatest-of-these-is-war.md,2.5,done
answer-to-prayer.md,1.3,done
beauty-that-is-never-old.md,0.6,done
before-a-painting.md,0.6,done
brer-rabbit-you-s-de-cutes-of-em-all.md,1.4,done
brothers.md,3.3,done
dat-gal-o-mine.md,0.7,done
de-little-pickaninny-s-gone-to-sleep.md,1.1,done
deep-in-the-quiet-wood.md,0.7,done
down-by-the-carib-sea.md,4.7,done
father-father-abraham.md,0.6,done
fifty-years.md,3.1,done
fragment.md,1.4,done
from-the-spanish.md,0.2,done
ghosts-of-the-old-year.md,1.1,done
girl-of-fifteen.md,0.6,done
go-down-death.md,3.0,done
her-eyes-twin-pools.md,0.4,done
i-hear-the-stars-still-singing.md,0.3,done
july-in-georgy.md,0.8,done
lazy.md,1.2,done
let-my-people-go.md,7.3,done
life.md,0.2,done
lift-ev-ry-voice-and-sing.md,1.3,done
listen-lord.md,2.0,done
ma-lady-s-lips-am-like-de-honey.md,1.5,done
morning-noon-and-night.md,0.7,done
mother-night.md,0.6,done
noah-built-the-ark.md,6.5,done
nobody-s-lookin-but-de-owl-and-de-moon.md,1.0,done
o-black-and-unknown-bards.md,2.3,done
o-southland.md,1.0,done
omar.md,0.2,done
possum-song.md,1.5,done
prayer-at-sunrise.md,0.9,done
sence-you-went-away.md,0.7,done
sleep.md,0.7,done
the-awakening.md,0.7,done
the-black-mammy.md,0.8,done
the-color-sergeant.md,0.8,done
the-creation.md,3.3,done
the-crucifixion.md,3.3,done
the-ghost-of-deacon-brown.md,1.2,done
the-gift-to-sing.md,0.5,done
the-glory-of-the-day-was-in-her-face.md,0.6,done
the-judgment-day.md,3.8,done
the-prodigal-son.md,4.8,done
the-reward.md,0.2,done
the-rivals.md,7.1,done
the-seasons.md,0.7,done
the-suicide.md,0.8,done
the-temptress.md,1.1,done
the-white-witch.md,2.3,done
the-word-of-an-engineer.md,1.0,done
the-young-warrior.md,0.7,done
to-america.md,0.3,done
to-horace-bumstead.md,0.7,done
tunk.md,1.9,done
vashti.md,2.8,done
venus-in-a-garden.md,0.7,done
voluptas.md,0.1,done
you-s-sweet-to-yo-mammy-jes-de-same.md,1.1,done
