file,size_kb,status
chapter-1.md,14.3,todo
chapter-2.md,17.9,todo
chapter-3.md,13.8,todo
chapter-4.md,12.2,todo
chapter-5.md,19.7,todo
chapter-6.md,13.4,todo
chapter-7.md,14.5,todo
chapter-8.md,13.7,todo
chapter-9.md,20.5,todo
chapter-10.md,19.8,todo
chapter-11.md,13.3,todo
chapter-12.md,11.3,todo
chapter-13.md,19.4,todo
chapter-14.md,15.0,todo
chapter-15.md,19.1,todo
chapter-16.md,16.4,todo
chapter-17.md,18.0,todo
chapter-18.md,10.4,todo
chapter-19.md,38.1,todo
chapter-20.md,31.1,todo
chapter-21.md,11.6,todo
chapter-22.md,9.7,todo
chapter-23.md,8.5,todo
endnotes.md,4.3,todo
preface.md,3.7,todo
