file,size_kb,status
01-dedication.md,0.0,done
02-epigraph.md,0.1,done
03-foreword.md,5.5,done
04-karintha.md,3.9,done
05-reapers.md,0.4,done
06-november-cotton-flower.md,0.7,done
07-becky.md,5.5,done
08-face.md,0.3,done
09-cotton-song.md,0.7,done
10-carma.md,4.4,done
11-song-of-the-son.md,1.0,done
12-georgia-dusk.md,1.3,done
13-fern.md,10.5,done
14-nullo.md,0.2,done
15-evening-song.md,0.4,done
16-esther.md,4.5,done
17-conversion.md,0.2,done
18-portrait-in-georgia.md,0.3,done
19-blood-burning-moon.md,2.7,done
20-seventh-street.md,1.4,done
21-rhobert.md,2.8,done
22-avey.md,13.8,done
23-beehive.md,0.5,done
24-storm-ending.md,0.3,done
25-theater.md,9.8,done
26-her-lips-are-copper-wire.md,0.4,done
27-calling-jesus.md,1.8,done
28-box-seat.md,12.2,done
29-prayer.md,0.7,done
30-harvest-song.md,1.7,done
31-bona-and-paul.md,3.3,done
32-kabnis.md,10.6,done
