file,size_kb,status
part-1.md,0.0,todo
chapter-1-1.md,13.8,todo
chapter-1-2.md,10.7,todo
chapter-1-3.md,15.0,todo
chapter-1-4.md,14.7,todo
chapter-1-5.md,23.5,todo
chapter-1-6.md,30.2,todo
part-2.md,0.0,todo
chapter-2-1.md,17.1,todo
chapter-2-2.md,13.9,todo
chapter-2-3.md,16.8,todo
chapter-2-4.md,25.7,todo
chapter-2-5.md,22.9,todo
chapter-2-6.md,13.0,todo
chapter-2-7.md,13.9,todo
part-3.md,0.0,todo
chapter-3-1.md,22.0,todo
chapter-3-2.md,23.5,todo
chapter-3-3.md,25.7,todo
chapter-3-4.md,13.4,todo
chapter-3-5.md,6.0,todo
part-4.md,0.0,todo
chapter-4-1.md,14.4,todo
chapter-4-2.md,16.9,todo
chapter-4-3.md,19.5,todo
chapter-4-4.md,29.1,todo
chapter-4-5.md,21.0,todo
chapter-4-6.md,33.6,todo
part-5.md,0.0,todo
chapter-5-1.md,41.3,todo
chapter-5-2.md,23.8,todo
chapter-5-3.md,8.1,todo
dedication.md,0.1,todo
epigraph.md,0.1,todo
