file,size_kb,status
dedication.md,0.1,todo
epigraph.md,0.1,todo
i.md,12.3,todo
ii.md,9.0,todo
iii.md,13.3,todo
iv.md,9.7,todo
ix.md,9.8,todo
v.md,7.8,todo
vi.md,11.2,todo
vii.md,12.2,todo
viii.md,15.6,todo
x.md,14.9,todo
xi.md,22.6,todo
xii.md,15.8,todo
xiii.md,18.2,todo
xiv.md,23.1,todo
xix.md,6.9,todo
xv.md,23.1,todo
xvi.md,21.8,todo
xvii.md,10.4,todo
xviii.md,9.5,todo
xx.md,4.8,todo
xxi.md,9.1,todo
xxii.md,12.0,todo
xxiii.md,9.9,todo
xxiv.md,14.2,todo
xxix.md,17.6,todo
xxv.md,22.3,todo
xxvi.md,8.7,todo
xxvii.md,14.5,todo
xxviii.md,9.8,todo
xxx.md,12.1,todo
xxxi.md,14.8,todo
xxxii.md,10.1,todo
xxxiii.md,12.1,todo
xxxiv.md,15.9,todo
xxxv.md,6.0,todo
xxxvi.md,14.2,todo
