file,size_kb,status
the-road-to-ruin-2.md,1.5,done
the-sheep-herder3.md,2.9,done
where-the-grizzly-dwells4.md,1.0,done
a-border-affair.md,1.5,done
a-cowboy-alone-with-his-conscience.md,2.1,done
a-cowboy-at-the-carnival.md,2.1,done
a-cowboy-race.md,0.5,done
a-cowboy-s-hopeless-love.md,2.1,done
a-cowboy-s-love-song.md,1.1,done
a-cowboy-s-son.md,0.8,done
a-cowboy-s-worrying-love.md,2.4,done
a-cowboy-song.md,0.5,done
a-cowboy-toast.md,2.0,done
a-dance-at-the-ranch.md,2.2,done
a-nevada-cowpuncher-to-his-beloved.md,0.7,done
a-ranger.md,3.0,done
at-a-cowboy-dance.md,1.6,done
bar-z-on-a-sunday-night.md,1.5,done
broncho-versus-bicycle.md,5.5,done
cowboy-versus-broncho.md,2.4,done
dedication.md,1.5,done
denver-jim.md,3.5,done
endnotes.md,0.5,done
epigraph.md,0.2,done
high-chin-bob.md,2.3,done
i-want-my-time.md,0.7,done
introduction.md,3.8,done
jack-dempsey-s-grave.md,1.7,done
just-a-ridin.md,1.7,done
lasca.md,4.6,done
love-lyrics-of-a-cowboy.md,2.8,done
marta-of-milrone.md,4.7,done
our-little-cowgirl.md,1.5,done
out-where-the-west-begins.md,1.0,done
pardners.md,1.3,done
riders-of-the-stars.md,3.0,done
ridin-up-the-rocky-trail-from-town.md,2.7,done
riding-song.md,0.7,done
snagtooth-sal.md,1.2,done
song-of-the-cattle-trail.md,1.1,done
the-bandit-s-grave.md,1.7,done
the-bronc-that-wouldn-t-bust.md,1.1,done
the-bull-fight.md,1.5,done
the-bunkhouse-orchestra.md,1.9,done
the-call-of-the-plains.md,1.3,done
the-cattle-round-up.md,1.4,done
the-chase.md,1.1,done
the-clown-s-baby.md,3.5,done
the-cowboy-and-the-maid.md,1.9,done
the-cowboy-s-dance-song.md,2.4,done
the-cowboy-s-valentine.md,0.6,done
the-cowboy-to-his-friend-in-need.md,0.6,done
the-cowboy.md,1.4,done
the-cowboys-ball.md,1.8,done
the-cowboys-christmas-ball.md,4.7,done
the-dance-at-silver-valley.md,2.6,done
the-desert.md,2.0,done
the-disappointed-tenderfoot.md,2.1,done
the-drunken-desperado.md,1.3,done
the-end-of-the-trail.md,0.6,done
the-gila-monster-route.md,3.3,done
the-glory-trail.md,2.5,done
the-habit.md,1.2,done
the-insult.md,0.9,done
the-legend-of-boastful-bill.md,2.7,done
the-ol-cow-hawse.md,1.7,done
the-old-cowman.md,2.2,done
the-old-mackenzie-trail.md,4.5,done
the-outlaw.md,1.6,done
the-shallows-of-the-ford.md,2.0,done
the-texas-cowboy-and-the-mexican-greaser.md,2.5,done
the-transformation-of-a-texas-girl.md,2.4,done
the-vigilantes.md,1.5,done
to-hear-him-tell-it.md,3.7,done
when-bob-got-throwed.md,1.3,done
when-you-re-throwed.md,2.7,done
whiskey-bill-a-fragment.md,0.9,done
who-s-that-calling-so-sweet.md,0.6,done
