file,size_kb,status
chapter-1.md,20.5,todo
epigraph-1.md,0.1,todo
chapter-2.md,20.9,todo
epigraph-2.md,1.1,todo
chapter-3.md,24.2,todo
chapter-4.md,32.2,todo
chapter-5.md,9.7,todo
chapter-6.md,13.5,todo
chapter-7.md,16.8,todo
chapter-8.md,22.5,todo
chapter-9.md,12.8,todo
chapter-10.md,30.7,todo
chapter-11.md,16.4,todo
chapter-12.md,32.6,todo
chapter-13.md,20.8,todo
chapter-14.md,16.5,todo
chapter-15.md,20.9,todo
chapter-16.md,41.2,todo
chapter-17.md,13.7,todo
chapter-18.md,24.8,todo
chapter-19.md,32.7,todo
dedication.md,0.1,todo
