file,size_kb,status
world-3769-37-478-326-894-6-talso.md,16.1,done
a-quarter-of-a-million-light-years.md,17.0,done
all-powerful-gods.md,9.4,done
attacked.md,11.0,done
canine-people.md,15.8,done
destruction.md,13.8,done
earth-s-defenses.md,24.2,done
endnotes.md,0.1,done
home-again.md,10.4,done
improvements-and-calculations.md,20.7,done
intergalactic-space.md,15.8,done
invaders.md,10.5,done
man-creator-and-destroyer.md,12.1,done
ortol.md,10.1,done
power-of-mind.md,14.4,done
sirius.md,16.0,done
the-battle-of-earth.md,5.8,done
the-first-move.md,19.1,done
the-irresistible-and-the-immovable.md,9.7,done
the-power-of-the-thought.md,18.7,done
the-second-move.md,12.0,done
thett-prepares.md,6.8,done
thett.md,13.7,done
undefeatable-or-uncontrollable.md,11.0,done
venone.md,22.0,done
with-galaxies-in-the-balance.md,22.6,done
write-off-the-magnet.md,7.2,done
