file,size_kb,status
chapter-1.md,13.1,done
chapter-2.md,17.9,done
chapter-3.md,13.4,done
chapter-4.md,17.2,done
chapter-5.md,18.1,done
chapter-6.md,18.0,done
chapter-7.md,13.8,done
chapter-8.md,14.3,done
chapter-9.md,17.0,done
chapter-10.md,15.9,done
chapter-11.md,11.9,done
chapter-12.md,17.0,done
chapter-13.md,17.2,done
chapter-14.md,14.1,done
chapter-15.md,16.7,done
chapter-16.md,15.7,done
chapter-17.md,16.7,done
chapter-18.md,13.2,done
chapter-19.md,14.1,done
chapter-20.md,17.5,done
chapter-21.md,17.3,done
chapter-22.md,10.7,done
chapter-23.md,8.7,done
endnotes.md,0.1,done
prologue.md,2.1,done
