file,size_kb,status
01-pedro-the-boaster.md,9.2,done
02-on-the-heels-of-the-storm.md,10.6,done
03-senor-zorro-pays-a-visit.md,6.1,done
04-swords-clash-and-pedro-explains.md,12.3,done
05-a-ride-in-the-morning.md,7.9,done
06-diego-seeks-a-bride.md,10.6,done
07-a-different-sort-of-man.md,9.3,done
08-don-carlos-plays-a-game.md,11.5,done
09-the-clash-of-blades.md,11.2,done
10-a-hint-at-jealousy.md,9.1,done
11-three-suitors.md,9.6,done
12-a-visit.md,13.7,done
13-love-comes-swiftly.md,12.9,done
14-captain-ramon-writes-a-letter.md,6.8,done
15-at-the-presidio.md,12.3,done
16-the-chase-that-failed.md,7.8,done
17-sergeant-gonzales-meets-a-friend.md,7.6,done
18-don-diego-returns.md,6.4,done
19-captain-ramon-apologizes.md,10.1,done
20-don-diego-shows-interest.md,6.4,done
21-the-whipping.md,8.3,done
22-swift-punishment.md,8.2,done
23-more-punishment.md,8.0,done
24-at-the-hacienda-of-don-alejandro.md,13.4,done
25-a-league-is-formed.md,6.5,done
26-an-understanding.md,12.0,done
27-orders-for-arrest.md,9.5,done
28-the-outrage.md,11.1,done
29-don-diego-feels-ill.md,9.3,done
30-the-sign-of-the-fox.md,6.7,done
31-the-rescue.md,8.7,done
32-close-quarters.md,12.7,done
33-flight-and-pursuit.md,9.7,done
34-the-blood-of-the-pulidos.md,6.8,done
35-the-clash-of-blades-again.md,18.7,done
36-all-against-them.md,8.3,done
37-the-fox-at-bay.md,7.0,done
38-the-man-unmasked.md,8.4,done
39-meal-mush-and-goat-s-milk.md,4.1,done
