file,size_kb,status
0-author-note.md,7.0,todo
part-1.md,2.6,todo
chapter-1-1.md,20.7,todo
chapter-1-2.md,39.1,todo
chapter-1-3.md,18.8,todo
chapter-1-4.md,11.1,todo
chapter-2-1.md,9.8,todo
chapter-2-2.md,14.1,todo
chapter-2-3.md,13.1,todo
chapter-2-4.md,15.6,todo
chapter-2-5.md,17.7,todo
chapter-2-6.md,7.0,todo
chapter-2-7.md,10.8,todo
chapter-3-1.md,6.2,todo
chapter-3-2.md,5.7,todo
chapter-3-3.md,13.6,todo
chapter-3-4.md,10.4,todo
chapter-3-5.md,9.9,todo
chapter-3-6.md,17.7,todo
chapter-3-7.md,12.5,todo
chapter-3-8.md,9.2,todo
chapter-3-9.md,36.2,todo
chapter-3-10.md,13.6,todo
chapter-4-1.md,5.9,todo
chapter-4-2.md,8.6,todo
chapter-4-3.md,15.5,todo
chapter-4-4.md,37.8,todo
chapter-4-5.md,21.8,todo
chapter-5-1.md,22.7,todo
chapter-5-2.md,38.3,todo
chapter-5-3.md,37.4,todo
chapter-5-4.md,15.9,todo
chapter-5-5.md,23.6,todo
chapter-5-6.md,20.6,todo
chapter-6-1.md,17.1,todo
chapter-6-2.md,10.1,todo
chapter-6-3.md,16.3,todo
chapter-6-4.md,34.3,todo
chapter-6-5.md,25.4,todo
chapter-6-6.md,16.3,todo
chapter-6-7.md,19.6,todo
chapter-6-8.md,15.1,todo
chapter-6-9.md,24.3,todo
