file,size_kb,status
01-the-advertisement.md,8.7,done
02-the-karburator.md,9.6,done
03-pantheism.md,10.7,done
04-god-in-the-cellar.md,10.3,done
05-bishop-linda.md,12.4,done
06-the-board-meeting.md,9.7,done
07-developments.md,7.9,done
08-the-dredge.md,13.7,done
09-the-ceremony.md,10.7,done
10-saint-ellen.md,9.4,done
11-the-first-blow-struck.md,11.3,done
12-doctor-blahous.md,8.6,done
13-the-chronicler-s-apology.md,8.8,done
14-the-land-of-plenty.md,12.5,done
15-disaster.md,11.5,done
16-in-the-mountains.md,10.2,done
17-the-hammer-and-star.md,7.5,done
18-in-the-night-editor-s-room.md,10.1,done
19-the-process-of-canonization.md,8.3,done
20-st-kilda.md,12.0,done
21-the-telegram.md,8.7,done
22-the-old-patriot.md,10.9,done
23-the-augsburg-imbroglio.md,11.7,done
24-the-napoleon-of-the-mountain-brigade.md,8.2,done
25-the-so-called-greatest-war.md,8.1,done
26-the-battle-of-hradec-kr-lov.md,8.8,done
27-a-coral-island-in-the-pacific.md,7.6,done
28-at-seven-cottages.md,6.8,done
29-the-last-battle.md,7.4,done
30-the-end-of-everything.md,8.1,done
31-endnotes.md,0.4,done
