file,size_kb,status
a-dresden-lady-in-dixie.md,16.1,todo
a-gentleman-of-bayou-t-che.md,13.6,todo
a-lady-of-bayou-st-john.md,9.7,todo
a-matter-of-prejudice.md,14.5,todo
a-night-in-acadie.md,37.0,todo
a-no-account-creole.md,54.6,todo
a-respectable-woman.md,8.0,todo
a-rude-awakening.md,17.3,todo
a-sentimental-soul.md,21.9,todo
a-turkey-hunt.md,3.8,todo
a-very-fine-fiddle.md,3.2,todo
a-visit-to-avoyelles.md,7.5,todo
a-wizard-from-gettysburg.md,14.9,todo
after-the-winter.md,18.4,todo
at-ch-ni-re-caminada.md,22.7,todo
at-the-cadian-ball.md,20.6,todo
ath-na-se.md,69.4,todo
az-lie.md,19.7,todo
beyond-the-bayou.md,12.4,todo
boul-t-and-boulotte.md,2.5,todo
caline.md,4.8,todo
cavanelle.md,12.6,todo
d-sir-e-s-baby.md,11.8,todo
dead-men-s-shoes.md,16.7,todo
endnotes.md,0.2,todo
for-marse-chouchoute.md,13.8,todo
in-and-out-of-old-natchitoches.md,28.4,todo
in-sabine.md,19.3,todo
juanita.md,4.1,todo
la-belle-zora-de.md,11.8,todo
loka.md,14.6,todo
love-on-the-bon-dieu.md,24.0,todo
ma-ame-p-lagie.md,17.1,todo
madame-c-lestin-s-divorce.md,7.4,todo
mamouche.md,15.8,todo
n-g-cr-ole.md,14.4,todo
odalie-misses-mass.md,10.8,todo
old-aunt-peggy.md,1.8,todo
oz-me-s-holiday.md,14.4,todo
polydore.md,15.6,todo
regret.md,8.5,todo
ripe-figs.md,1.7,todo
tante-cat-rinette.md,18.1,todo
the-b-nitous-slave.md,3.7,todo
the-dream-of-an-hour.md,5.5,todo
the-lilies.md,10.8,todo
the-maid-of-saint-phillippe.md,16.2,todo
the-night-came-slowly.md,1.6,todo
the-return-of-alcibiade.md,13.2,todo
with-the-violin.md,8.5,todo
