file,size_kb,status
return-to-the-summer-palace-2.md,10.7,done
a-european-circus-at-the-palace.md,10.8,done
a-garden-party-at-the-summer-palace.md,8.9,done
continuation-of-the-portrait-her-majesty-s-dogs.md,9.8,done
continuation-of-the-st-louis-portrait-spring-days-at-the-sea-palace.md,10.2,done
dedication.md,0.2,done
festivities-at-court.md,10.5,done
finishing-and-sending-off-the-portrait.md,9.1,done
her-majesty-s-anxiety-her-birthday.md,7.8,done
her-majesty-s-throne-room-some-personal-characteristics.md,12.4,done
her-majesty-the-empress-dowager.md,25.8,done
his-majesty-the-emperor-kwang-hsu.md,13.3,done
i-begin-a-second-portrait-of-her-majesty-the-palace-painters.md,9.4,done
introductory.md,9.5,done
my-presentation-and-first-day-at-the-chinese-court.md,22.4,done
palace-customs.md,13.5,done
peking-beginning-the-portrait-for-st-louis.md,11.4,done
peking-the-sea-palace.md,20.0,done
personal-appearance-of-her-majesty-a-chinese-repast-boating.md,12.7,done
present-giving-in-china.md,9.2,done
religious-rites-in-china.md,11.7,done
return-to-the-summer-palace.md,8.0,done
some-characteristics-of-her-majesty-second-visit-to-the-sea-palace.md,16.2,done
some-social-customs-manchu-and-chinese.md,16.1,done
some-winter-days-at-the-palace.md,11.8,done
the-chinese-new-year-official-audience.md,11.9,done
the-emperor-s-birthday.md,21.2,done
the-empress-dowager-s-charities-sense-of-justice-extravagance-and-personal-characteristics.md,14.4,done
the-festival-of-the-harvest-moon-work-on-the-portrait.md,13.0,done
the-great-audience-hall-some-official-customs.md,10.2,done
the-literary-tastes-and-accomplishments-of-the-empress-dowager.md,17.7,done
the-palace-eunuchs.md,9.4,done
the-palace-of-the-emperor-s-father-prince-ch-un-the-seventh-prince.md,9.6,done
the-steam-launch-semiannual-sacrifices-to-confucius.md,8.5,done
the-summer-palace-and-its-grounds.md,9.6,done
the-winter-palace.md,16.6,done
the-young-empress-and-ladies-of-the-court.md,11.9,done
