file,size_kb,status
01-storm.md,17.7,todo
02-conversation.md,20.9,todo
03-jimboy-s-letter.md,9.9,todo
04-thursday-afternoon.md,16.5,todo
05-guitar.md,13.8,todo
06-work.md,13.1,todo
07-white-folks.md,20.6,todo
08-dance.md,28.5,todo
09-carnival.md,19.2,todo
10-punishment.md,11.1,todo
11-school.md,10.3,todo
12-hard-winter.md,20.4,todo
13-christmas.md,19.6,todo
14-return.md,10.3,todo
15-one-by-one.md,16.1,todo
16-nothing-but-love.md,10.6,todo
17-barbershop.md,13.4,todo
18-children-s-day.md,12.9,todo
19-ten-dollars-and-costs.md,7.0,todo
20-hey-boy.md,13.5,todo
21-note-to-harriett.md,16.1,todo
22-beyond-the-jordan.md,8.6,todo
23-tempy-s-house.md,10.7,todo
24-a-shelf-of-books.md,8.6,todo
25-pool-hall.md,11.6,todo
26-the-doors-of-life.md,10.4,todo
27-beware-of-women.md,16.6,todo
28-chicago.md,20.9,todo
29-elevator.md,7.6,todo
30-princess-of-the-blues.md,12.7,todo
