file,size_kb,status
001-epigraph.md,0.1,todo
002-introduction.md,12.4,todo
003-section-001.md,7.6,todo
004-section-002.md,7.1,todo
005-section-003.md,17.5,todo
006-section-004.md,21.9,todo
007-section-005.md,2.3,todo
008-section-006.md,0.1,todo
009-section-007.md,0.3,todo
010-section-008.md,2.1,todo
011-section-009.md,0.7,todo
012-section-010.md,1.2,todo
013-section-011.md,0.9,todo
014-section-012.md,3.0,todo
015-section-013.md,0.5,todo
016-section-014.md,0.5,todo
017-section-015.md,1.4,todo
018-section-016.md,0.7,todo
019-section-017.md,0.3,todo
020-section-018.md,1.6,todo
021-section-019.md,6.1,todo
022-section-020.md,0.5,todo
023-section-021.md,1.5,todo
024-section-022.md,1.9,todo
025-section-023.md,0.8,todo
026-section-024.md,5.8,todo
027-section-025.md,2.2,todo
028-section-026.md,0.8,todo
029-section-027.md,0.7,todo
030-section-028.md,2.0,todo
031-section-029.md,2.2,todo
032-section-030.md,7.7,todo
033-section-031.md,5.4,todo
034-section-032.md,0.2,todo
035-section-033.md,0.8,todo
036-section-034.md,2.4,todo
037-section-035.md,9.5,todo
038-section-036.md,0.5,todo
039-section-037.md,3.6,todo
040-section-038.md,0.4,todo
041-section-039.md,0.2,todo
042-section-040.md,3.7,todo
043-section-041.md,2.8,todo
044-section-042.md,1.2,todo
045-section-043.md,0.7,todo
046-section-044.md,0.2,todo
047-section-045.md,3.4,todo
048-section-046.md,1.2,todo
049-section-047.md,0.7,todo
050-section-048.md,2.5,todo
051-section-049.md,1.8,todo
052-section-050.md,8.0,todo
053-section-051.md,3.4,todo
054-section-052.md,2.1,todo
055-section-053.md,5.8,todo
056-section-054.md,5.0,todo
057-section-055.md,0.6,todo
058-section-056.md,2.9,todo
059-section-057.md,0.5,todo
060-section-058.md,2.1,todo
061-section-059.md,8.0,todo
062-section-060.md,7.1,todo
063-section-061.md,4.8,todo
064-section-062.md,0.2,todo
065-section-063.md,2.8,todo
066-section-064.md,0.4,todo
067-section-065.md,1.2,todo
068-section-066.md,3.1,todo
069-section-067.md,3.3,todo
070-section-068.md,3.8,todo
071-section-069.md,1.6,todo
072-section-070.md,2.5,todo
073-section-071.md,5.4,todo
074-section-072.md,2.3,todo
075-section-073.md,9.5,todo
076-section-074.md,3.5,todo
077-section-075.md,3.8,todo
078-section-076.md,0.6,todo
079-section-077.md,0.8,todo
080-section-078.md,0.2,todo
081-section-079.md,1.2,todo
082-section-080.md,1.6,todo
083-section-081.md,1.0,todo
084-section-082.md,3.4,todo
085-section-083.md,1.4,todo
086-section-084.md,5.0,todo
087-section-085.md,0.0,todo
088-section-086.md,2.6,todo
089-section-087.md,4.7,todo
090-section-088.md,2.6,todo
091-section-089.md,4.3,todo
092-section-090.md,0.1,todo
093-section-091.md,0.7,todo
094-section-092.md,0.3,todo
095-section-093.md,4.2,todo
096-section-094.md,5.1,todo
097-section-095.md,2.9,todo
098-section-096.md,0.6,todo
099-section-097.md,1.2,todo
100-section-098.md,1.3,todo
101-section-099.md,1.6,todo
102-section-100.md,1.3,todo
103-section-101.md,1.8,todo
104-section-102.md,2.6,todo
105-section-103.md,1.1,todo
106-section-104.md,5.8,todo
107-section-105.md,0.9,todo
108-section-106.md,0.7,todo
109-section-107.md,0.8,todo
110-section-108.md,2.5,todo
111-section-109.md,8.5,todo
112-section-110.md,0.5,todo
113-section-111.md,0.6,todo
114-section-112.md,2.5,todo
115-section-113.md,2.2,todo
116-section-114.md,6.4,todo
117-section-115.md,2.1,todo
118-section-116.md,3.3,todo
119-section-117.md,3.1,todo
120-section-118.md,3.1,todo
121-section-119.md,6.7,todo
122-section-120.md,1.8,todo
123-section-121.md,4.2,todo
124-section-122.md,1.2,todo
125-section-123.md,1.3,todo
126-section-124.md,9.9,todo
127-section-125.md,1.5,todo
128-section-126.md,0.1,todo
129-section-127.md,1.7,todo
130-section-128.md,2.6,todo
131-section-129.md,1.4,todo
132-section-130.md,3.4,todo
133-section-131.md,2.7,todo
134-section-132.md,2.3,todo
135-section-133.md,3.0,todo
136-section-134.md,0.1,todo
137-section-135.md,0.2,todo
138-section-136.md,6.8,todo
