file,size_kb,status
i.md,19.7,todo
ii.md,16.8,todo
iii.md,17.3,todo
iv.md,18.5,todo
ix.md,17.1,todo
l.md,17.3,todo
li.md,22.5,todo
lii.md,8.6,todo
v.md,17.7,todo
vi.md,17.4,todo
vii.md,20.3,todo
viii.md,18.4,todo
x.md,16.3,todo
xi.md,16.7,todo
xii.md,19.8,todo
xiii.md,18.0,todo
xiv.md,18.6,todo
xix.md,15.7,todo
xl.md,21.6,todo
xli.md,13.9,todo
xlii.md,8.2,todo
xliii.md,6.9,todo
xliv.md,23.5,todo
xlix.md,19.8,todo
xlv.md,17.2,todo
xlvi.md,16.8,todo
xlvii.md,11.6,todo
xlviii.md,16.8,todo
xv.md,18.3,todo
xvi.md,19.8,todo
xvii.md,16.7,todo
xviii.md,14.0,todo
xx.md,15.2,todo
xxi.md,18.5,todo
xxii.md,19.1,todo
xxiii.md,17.9,todo
xxiv.md,19.4,todo
xxix.md,17.8,todo
xxv.md,18.5,todo
xxvi.md,18.1,todo
xxvii.md,18.4,todo
xxviii.md,20.0,todo
xxx.md,19.6,todo
xxxi.md,19.1,todo
xxxii.md,18.1,todo
xxxiii.md,15.9,todo
xxxiv.md,24.3,todo
xxxix.md,19.5,todo
xxxv.md,18.0,todo
xxxvi.md,8.1,todo
xxxvii.md,11.6,todo
xxxviii.md,18.5,todo
