file,size_kb,status
chapter-1.md,24.0,todo
chapter-2.md,21.4,todo
chapter-3.md,21.5,todo
chapter-4.md,22.7,todo
chapter-5.md,22.8,todo
chapter-6.md,18.7,todo
chapter-7.md,26.4,todo
chapter-8.md,23.7,todo
chapter-9.md,22.3,todo
chapter-10.md,23.8,todo
chapter-11.md,24.2,todo
chapter-12.md,29.6,todo
chapter-13.md,25.4,todo
chapter-14.md,23.0,todo
chapter-15.md,15.9,todo
chapter-16.md,19.5,todo
chapter-17.md,23.7,todo
chapter-18.md,29.2,todo
chapter-19.md,18.7,todo
chapter-20.md,12.5,todo
chapter-21.md,29.1,todo
chapter-22.md,30.5,todo
chapter-23.md,31.7,todo
chapter-24.md,30.9,todo
chapter-25.md,26.1,todo
chapter-26.md,23.4,todo
chapter-27.md,16.1,todo
chapter-28.md,19.4,todo
chapter-29.md,35.5,todo
chapter-30.md,31.2,todo
chapter-31.md,30.0,todo
chapter-32.md,31.2,todo
chapter-33.md,26.5,todo
chapter-34.md,29.9,todo
chapter-35.md,32.8,todo
chapter-36.md,32.8,todo
chapter-37.md,34.0,todo
chapter-38.md,21.1,todo
chapter-39.md,15.5,todo
chapter-40.md,23.9,todo
chapter-41.md,20.7,todo
chapter-42.md,26.3,todo
chapter-43.md,21.2,todo
chapter-44.md,16.2,todo
chapter-45.md,9.3,todo
epigraph.md,0.6,todo
