file,size_kb,status
a-catastrophe.md,15.6,todo
a-country-party.md,12.9,todo
a-desperate-expedient.md,21.6,todo
a-disclosure.md,19.1,todo
a-domestic-crisis.md,21.0,todo
a-great-mental-shock.md,14.0,todo
a-morning-call.md,16.6,todo
a-morning-s-work.md,22.7,todo
a-new-friend.md,17.5,todo
a-pair-of-natural-enemies.md,20.7,todo
a-pleasant-evening.md,14.1,todo
a-public-meeting.md,18.9,todo
a-visit.md,17.6,todo
an-expedition.md,21.4,todo
an-extravagance.md,18.3,todo
coming-home.md,17.7,todo
father-and-son.md,21.5,todo
grange-lane.md,18.2,todo
lovemaking.md,14.7,todo
mr-copperhead-s-ball.md,25.2,todo
mr-may-s-affairs.md,18.1,todo
papa.md,17.5,todo
phoebe-s-last-trial.md,25.8,todo
phoebe-s-preparations.md,17.5,todo
self-devotion.md,18.1,todo
shopping.md,16.5,todo
society-at-the-parsonage.md,17.2,todo
society.md,15.6,todo
strangers.md,19.7,todo
tea.md,20.5,todo
that-tozer-girl.md,14.7,todo
the-conflict.md,34.2,todo
the-dorsets.md,18.1,todo
the-hall.md,17.9,todo
the-last.md,12.3,todo
the-leading-member.md,18.4,todo
the-millionaire.md,18.1,todo
the-new-chaplain.md,20.0,todo
the-new-gentleman.md,15.5,todo
the-new-pupil.md,21.0,todo
the-pastor-s-progress.md,20.3,todo
the-sinned-against.md,26.1,todo
the-tozer-family.md,20.4,todo
tided-over.md,13.7,todo
ursula-s-entr-es.md,20.6,todo
