file,size_kb,status
chapter-1.md,25.0,todo
chapter-2.md,29.3,todo
chapter-3.md,26.8,todo
chapter-4.md,28.1,todo
chapter-5.md,23.5,todo
chapter-6.md,35.8,todo
chapter-7.md,29.0,todo
chapter-8.md,34.0,todo
chapter-9.md,26.2,todo
chapter-10.md,24.7,todo
chapter-11.md,23.5,todo
chapter-12.md,29.7,todo
chapter-13.md,25.0,todo
chapter-14.md,28.9,todo
chapter-15.md,27.3,todo
chapter-16.md,28.4,todo
chapter-17.md,27.9,todo
chapter-18.md,25.4,todo
chapter-19.md,25.3,todo
chapter-20.md,24.3,todo
chapter-21.md,12.2,todo
chapter-22.md,16.1,todo
chapter-23.md,27.8,todo
chapter-24.md,17.2,todo
chapter-25.md,31.4,todo
chapter-26.md,14.1,todo
chapter-27.md,27.0,todo
chapter-28.md,22.7,todo
chapter-29.md,16.2,todo
chapter-30.md,16.4,todo
chapter-31.md,23.3,todo
chapter-32.md,23.2,todo
chapter-33.md,24.6,todo
chapter-34.md,16.8,todo
chapter-35.md,28.4,todo
chapter-36.md,27.4,todo
chapter-37.md,24.9,todo
chapter-38.md,22.6,todo
chapter-39.md,21.3,todo
chapter-40.md,24.7,todo
chapter-41.md,15.3,todo
chapter-42.md,22.3,todo
chapter-43.md,18.6,todo
chapter-44.md,24.0,todo
chapter-45.md,26.0,todo
chapter-46.md,32.9,todo
chapter-47.md,28.8,todo
chapter-48.md,29.9,todo
chapter-49.md,19.8,todo
epigraph.md,0.1,todo
