file,size_kb,status
01-the-maidens-harvest.md,1.5,done
02-song.md,1.3,done
03-the-alpine-sheep.md,1.8,done
04-africa.md,4.3,done
05-jesus-and-the-dove.md,2.4,done
06-the-morning-glory.md,1.8,done
07-the-slave-mother.md,1.4,done
08-necklaces.md,0.6,done
09-cadiz.md,0.9,done
10-rome.md,0.6,done
11-the-grave-of-keats.md,0.9,done
12-avignon.md,1.8,done
13-rouen-place-de-la-pucelle.md,0.8,done
14-the-sick-room.md,1.1,done
15-an-opium-fantasy.md,1.2,done
16-sonnet-1.md,0.7,done
17-sonnet-2.md,0.6,done
18-sonnet-3.md,0.6,done
19-sonnet-4.md,0.6,done
20-memories-of-waters.md,2.3,done
